Block Name,Cell ID,vtkOriginalCellIds,Cell Type,Ma,T,U_0,U_1,U_2,U_Magnitude,p
internalMesh,2616,2616,12,1.4412,1.98479,2.02997,0.0410655,0,2.03039,3.93623
internalMesh,2617,2617,12,1.44825,1.979,2.03685,0.0448388,0,2.03734,3.89478
internalMesh,2618,2618,12,1.4552,1.97342,2.04367,0.048364,0,2.04424,3.85362
internalMesh,2619,2619,12,1.46217,1.96771,2.05041,0.0516292,0,2.05106,3.8129
internalMesh,2620,2620,12,1.46901,1.96221,2.05704,0.0546197,0,2.05777,3.77272
internalMesh,2621,2621,12,1.47578,1.9567,2.06356,0.0573155,0,2.06436,3.73323
internalMesh,2622,2622,12,1.48242,1.95133,2.06993,0.0596934,0,2.07079,3.69456
internalMesh,2623,2623,12,1.48889,1.94613,2.07613,0.061723,0,2.07705,3.65689
internalMesh,2624,2624,12,1.4952,1.94099,2.08214,0.0633689,0,2.0831,3.6204
internalMesh,2625,2625,12,1.50123,1.9362,2.08792,0.064588,0,2.08892,3.5853
internalMesh,2626,2626,12,1.50704,1.93146,2.09342,0.0653197,0,2.09444,3.55185
internalMesh,2627,2627,12,1.51248,1.92715,2.09863,0.065549,0,2.09965,3.52032
internalMesh,2628,2628,12,1.51765,1.92296,2.10352,0.0652063,0,2.10453,3.49059
internalMesh,2629,2629,12,1.52229,1.91932,2.10799,0.0642027,0,2.10897,3.46336
internalMesh,2630,2630,12,1.52651,1.91589,2.112,0.0624608,0,2.11292,3.43893
internalMesh,2631,2631,12,1.53005,1.91321,2.11549,0.059892,0,2.11634,3.41763
internalMesh,2632,2632,12,1.53304,1.91079,2.11839,0.0564035,0,2.11914,3.39987
internalMesh,2633,2633,12,1.53517,1.90933,2.12063,0.0519096,0,2.12127,3.38602
internalMesh,2634,2634,12,1.53664,1.90821,2.12217,0.0463525,0,2.12268,3.37641
internalMesh,2635,2635,12,1.53709,1.9082,2.12292,0.0396624,0,2.12329,3.37124
internalMesh,2636,2636,12,1.53705,1.90853,2.12318,0.032208,0,2.12342,3.3712
internalMesh,2637,2637,12,1.53685,1.90893,2.12323,0.0242686,0,2.12337,3.37213
internalMesh,2638,2638,12,1.53608,1.90988,2.12277,0.0155088,0,2.12283,3.37523
internalMesh,2639,2639,12,1.53432,1.91159,2.12135,0.00535108,0,2.12136,3.38237
